tick_production_bovine,tick_production_porc,tick_production_poulet,tick_production_legumes,tick_production_coton,tick_consommation_bovine,tick_consommation_porc,tick_consommation_poulet,tick_consommation_legumes,tick_distribution_bovine,tick_distribution_porc,tick_distribution_poulet,tick_distribution_legumes,tick_reception_bovine,tick_reception_porc,tick_reception_poulet,tick_reception_legumes,tick_emission_total,tick_surface_used_viandes,tick_surface_used_legumes,tick_surface_manque_viandes,tick_surface_manque_legumes,tick_water_used_agricole,tick_energy_used_agricole,tick_penurie_bovine,tick_penurie_porc,tick_penurie_poulet,tick_penurie_legumes,tick_stock_bovine,tick_stock_porc,tick_stock_poulet,tick_stock_legumes
10181754.0,14799708.0,12963654.0,58086072.0,0.0,10181754.0,14799708.0,12963654.0,58086072.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125383014.89999999,2993352219.0,38336807.52,0.0,0.0,320343908148.0,154768780.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10238118.0,14881636.0,13035418.0,58407624.0,0.0,10209936.0,14840672.0,12999536.0,58246848.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126077108.29999998,3009922773.0,38549031.84,0.0,0.0,322117263116.0,155625547.66,28182.0,40964.0,35882.0,160776.0,0.0,0.0,0.0,0.0
10294848.0,14964096.0,13107648.0,58731264.0,0.0,10252392.0,14902384.0,13053592.0,58489056.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126775708.79999998,3026600928.0,38762634.24,0.0,0.0,323902133376.0,156487877.76,42456.0,61712.0,54056.0,242208.0,0.0,0.0,0.0,0.0
10252392.0,14902384.0,13053592.0,58489056.0,0.0,10252392.0,14902384.0,13053592.0,58489056.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126252885.19999999,3014119212.0,38602776.96,0.0,0.0,322566359504.0,155842521.04000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10252392.0,14902384.0,13053592.0,58489056.0,0.0,10252392.0,14902384.0,13053592.0,58489056.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126252885.19999999,3014119212.0,38602776.96,0.0,0.0,322566359504.0,155842521.04000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10267032.0,14923664.0,13072232.0,58572576.0,0.0,10259712.0,14913024.0,13062912.0,58530816.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126433169.19999999,3018423252.0,38657900.160000004,0.0,0.0,323026971184.0,156065057.84,7320.0,10640.0,9320.0,41760.0,0.0,0.0,0.0,0.0
10307658.0,14982716.0,13123958.0,58804344.0,0.0,10283685.0,14947870.0,13093435.0,58667580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126933457.3,3030366963.0,38810867.04,0.0,0.0,324305168596.0,156682597.45999998,23973.0,34846.0,30523.0,136764.0,0.0,0.0,0.0,0.0
10283685.0,14947870.0,13093435.0,58667580.0,0.0,10283685.0,14947870.0,13093435.0,58667580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126638242.24999999,3023319097.5,38720602.800000004,0.0,0.0,323550916970.0,156318193.45000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10283685.0,14947870.0,13093435.0,58667580.0,0.0,10283685.0,14947870.0,13093435.0,58667580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126638242.24999999,3023319097.5,38720602.800000004,0.0,0.0,323550916970.0,156318193.45000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10283685.0,14947870.0,13093435.0,58667580.0,0.0,10283685.0,14947870.0,13093435.0,58667580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126638242.24999999,3023319097.5,38720602.800000004,0.0,0.0,323550916970.0,156318193.45000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10283685.0,14947870.0,13093435.0,58667580.0,0.0,10283685.0,14947870.0,13093435.0,58667580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126638242.24999999,3023319097.5,38720602.800000004,0.0,0.0,323550916970.0,156318193.45000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10323396.0,15005592.0,13143996.0,58894128.0,0.0,10303815.0,14977130.0,13119065.0,58782420.0,549.0,798.0,699.0,3132.0,0.0,0.0,0.0,0.0,127127262.6,3034993806.0,38870124.480000004,0.0,0.0,324800326152.0,156921824.52,19581.0,28462.0,24931.0,111708.0,0.0,0.0,0.0,0.0
10383603.0,15093106.0,13220653.0,59237604.0,0.0,10343709.0,15035118.0,13169859.0,59010012.0,549.0,798.0,699.0,3132.0,0.0,0.0,0.0,0.0,127868680.54999998,3052694170.5,39096818.64,0.0,0.0,326694591686.0,157837007.11,39894.0,57988.0,50794.0,227592.0,0.0,0.0,0.0,0.0
10343709.0,15035118.0,13169859.0,59010012.0,0.0,10343709.0,15035118.0,13169859.0,59010012.0,549.0,798.0,699.0,3132.0,0.0,0.0,0.0,0.0,127377406.64999999,3040965661.5,38946607.92,0.0,0.0,325439424858.0,157230594.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10390557.0,15103214.0,13229507.0,59277276.0,0.0,10367133.0,15069166.0,13199683.0,59143644.0,549.0,798.0,699.0,3132.0,0.0,0.0,0.0,0.0,127954315.44999999,3054738589.5,39123002.160000004,0.0,0.0,326913382234.0,157942712.09,23424.0,34048.0,29824.0,133632.0,0.0,0.0,0.0,0.0
10451313.0,15191526.0,13306863.0,59623884.0,0.0,10409223.0,15130346.0,13253273.0,59383764.0,549.0,798.0,699.0,3132.0,0.0,0.0,0.0,0.0,128702494.05,3072600355.5,39351763.440000005,0.0,0.0,328824920706.0,158866239.81,42090.0,61180.0,53590.0,240120.0,0.0,0.0,0.0,0.0
10409223.0,15130346.0,13253273.0,59383764.0,0.0,10409223.0,15130346.0,13253273.0,59383764.0,549.0,798.0,699.0,3132.0,0.0,0.0,0.0,0.0,128184177.54999998,3060226240.5,39193284.24,0.0,0.0,327500662126.0,158226446.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10409223.0,15130346.0,13253273.0,59383764.0,0.0,10409223.0,15130346.0,13253273.0,59383764.0,549.0,798.0,699.0,3132.0,0.0,0.0,0.0,0.0,128184177.54999998,3060226240.5,39193284.24,0.0,0.0,327500662126.0,158226446.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10421301.0,15147902.0,13268651.0,59452668.0,0.0,10415262.0,15139124.0,13260962.0,59418216.0,549.0,798.0,699.0,3132.0,0.0,0.0,0.0,0.0,128332911.85,3063777073.5,39238760.88,0.0,0.0,327880666762.0,158410039.37,6039.0,8778.0,7689.0,34452.0,0.0,0.0,0.0,0.0
10455522.0,15197644.0,13312222.0,59647896.0,0.0,10435392.0,15168384.0,13286592.0,59533056.0,549.0,798.0,699.0,3132.0,0.0,0.0,0.0,0.0,128754325.69999999,3073837767.0,39367611.36,0.0,0.0,328957346564.0,158930219.14000002,20130.0,29260.0,25630.0,114840.0,0.0,0.0,0.0,0.0
10435392.0,15168384.0,13286592.0,59533056.0,0.0,10435392.0,15168384.0,13286592.0,59533056.0,549.0,798.0,699.0,3132.0,0.0,0.0,0.0,0.0,128506435.19999999,3067919712.0,39291816.96,0.0,0.0,328324005504.0,158624231.04000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10435392.0,15168384.0,13286592.0,59533056.0,0.0,10435392.0,15168384.0,13286592.0,59533056.0,549.0,798.0,699.0,3132.0,0.0,0.0,0.0,0.0,128506435.19999999,3067919712.0,39291816.96,0.0,0.0,328324005504.0,158624231.04000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10435392.0,15168384.0,13286592.0,59533056.0,0.0,10435392.0,15168384.0,13286592.0,59533056.0,549.0,798.0,699.0,3132.0,0.0,0.0,0.0,0.0,128506435.19999999,3067919712.0,39291816.96,0.0,0.0,328324005504.0,158624231.04000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10435392.0,15168384.0,13286592.0,59533056.0,0.0,10435392.0,15168384.0,13286592.0,59533056.0,549.0,798.0,699.0,3132.0,0.0,0.0,0.0,0.0,128506435.19999999,3067919712.0,39291816.96,0.0,0.0,328324005504.0,158624231.04000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10478580.0,15231160.0,13341580.0,59779440.0,0.0,10456986.0,15199772.0,13314086.0,59656248.0,549.0,798.0,699.0,3132.0,0.0,0.0,0.0,0.0,129038272.99999999,3080616630.0,39454430.4,0.0,0.0,329682809960.0,159280714.6,21594.0,31388.0,27494.0,123192.0,0.0,0.0,0.0,0.0
10532382.0,15309364.0,13410082.0,60086376.0,0.0,10494684.0,15254568.0,13362084.0,59871312.0,549.0,798.0,699.0,3132.0,0.0,0.0,0.0,0.0,129700816.69999999,3096433977.0,39657008.160000004,0.0,0.0,331375557884.0,160098537.34,37698.0,54796.0,47998.0,215064.0,0.0,0.0,0.0,0.0
10494684.0,15254568.0,13362084.0,59871312.0,0.0,10494684.0,15254568.0,13362084.0,59871312.0,549.0,798.0,699.0,3132.0,0.0,0.0,0.0,0.0,129236585.39999999,3085351074.0,39515065.92,0.0,0.0,330189482808.0,159525505.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10533114.0,15310428.0,13411014.0,60090552.0,0.0,10513899.0,15282498.0,13386549.0,59980932.0,549.0,798.0,699.0,3132.0,0.0,0.0,0.0,0.0,129709830.89999999,3096649179.0,39659764.32,0.0,0.0,331398588468.0,160109664.17999998,19215.0,27930.0,24465.0,109620.0,0.0,0.0,0.0,0.0
10614915.0,15429330.0,13515165.0,60557220.0,0.0,10564407.0,15355914.0,13450857.0,60269076.0,549.0,798.0,699.0,3132.0,0.0,0.0,0.0,0.0,130717167.75,3120698002.5,39967765.2,0.0,0.0,333972256230.0,161353088.55,50508.0,73416.0,64308.0,288144.0,0.0,0.0,0.0,0.0
10564407.0,15355914.0,13450857.0,60269076.0,0.0,10564407.0,15355914.0,13450857.0,60269076.0,549.0,798.0,699.0,3132.0,0.0,0.0,0.0,0.0,130095187.94999999,3105849064.5,39777590.160000004,0.0,0.0,332383145934.0,160585336.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10564407.0,15355914.0,13450857.0,60269076.0,0.0,10564407.0,15355914.0,13450857.0,60269076.0,549.0,798.0,699.0,3132.0,0.0,0.0,0.0,0.0,130095187.94999999,3105849064.5,39777590.160000004,0.0,0.0,332383145934.0,160585336.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10568799.0,15362298.0,13456449.0,60294132.0,0.0,10566603.0,15359106.0,13453653.0,60281604.0,549.0,798.0,699.0,3132.0,0.0,0.0,0.0,0.0,130149273.14999998,3107140276.5,39794127.120000005,0.0,0.0,332521329438.0,160652097.63,2196.0,3192.0,2796.0,12528.0,0.0,0.0,0.0,0.0
10614549.0,15428798.0,13514699.0,60555132.0,0.0,10590576.0,15393952.0,13484176.0,60418368.0,549.0,798.0,699.0,3132.0,0.0,0.0,0.0,0.0,130712660.64999998,3120590401.5,39966387.120000005,0.0,0.0,333960740938.0,161347525.13,23973.0,34846.0,30523.0,136764.0,0.0,0.0,0.0,0.0
10590576.0,15393952.0,13484176.0,60418368.0,0.0,10590576.0,15393952.0,13484176.0,60418368.0,549.0,798.0,699.0,3132.0,0.0,0.0,0.0,0.0,130417445.6,3113542536.0,39876122.88,0.0,0.0,333206489312.0,160983121.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10590576.0,15393952.0,13484176.0,60418368.0,0.0,10590576.0,15393952.0,13484176.0,60418368.0,549.0,798.0,699.0,3132.0,0.0,0.0,0.0,0.0,130417445.6,3113542536.0,39876122.88,0.0,0.0,333206489312.0,160983121.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
