tick_production_bovine,tick_production_porc,tick_production_poulet,tick_production_legumes,tick_production_coton,tick_consommation_bovine,tick_consommation_porc,tick_consommation_poulet,tick_consommation_legumes,tick_distribution_bovine,tick_distribution_porc,tick_distribution_poulet,tick_distribution_legumes,tick_reception_bovine,tick_reception_porc,tick_reception_poulet,tick_reception_legumes,tick_emission_total,tick_surface_used_viandes,tick_surface_used_legumes,tick_surface_manque_viandes,tick_surface_manque_legumes,tick_water_used_agricole,tick_energy_used_agricole,tick_penurie_bovine,tick_penurie_porc,tick_penurie_poulet,tick_penurie_legumes,tick_stock_bovine,tick_stock_porc,tick_stock_poulet,tick_stock_legumes
10962981.0,15935262.0,13958331.0,62542908.0,0.0,10962981.0,15935262.0,13958331.0,62542908.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135003419.85,3223026553.5,41278319.28,0.0,0.0,344923298922.0,166643900.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10962981.0,15935262.0,13958331.0,62542908.0,0.0,10962981.0,15935262.0,13958331.0,62542908.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135003419.85,3223026553.5,41278319.28,0.0,0.0,344923298922.0,166643900.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10962981.0,15935262.0,13958331.0,62542908.0,0.0,10962981.0,15935262.0,13958331.0,62542908.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135003419.85,3223026553.5,41278319.28,0.0,0.0,344923298922.0,166643900.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10962981.0,15935262.0,13958331.0,62542908.0,0.0,10962981.0,15935262.0,13958331.0,62542908.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135003419.85,3223026553.5,41278319.28,0.0,0.0,344923298922.0,166643900.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10962981.0,15935262.0,13958331.0,62542908.0,0.0,10962981.0,15935262.0,13958331.0,62542908.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135003419.85,3223026553.5,41278319.28,0.0,0.0,344923298922.0,166643900.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10962981.0,15935262.0,13958331.0,62542908.0,0.0,10962981.0,15935262.0,13958331.0,62542908.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135003419.85,3223026553.5,41278319.28,0.0,0.0,344923298922.0,166643900.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10962981.0,15935262.0,13958331.0,62542908.0,0.0,10962981.0,15935262.0,13958331.0,62542908.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135003419.85,3223026553.5,41278319.28,0.0,0.0,344923298922.0,166643900.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11052285.0,16065070.0,14072035.0,63052380.0,0.0,11007633.0,16000166.0,14015183.0,62797644.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136103152.25,3249281197.5,41614570.800000004,0.0,0.0,347733030170.0,168001375.45000002,44652.0,64904.0,56852.0,254736.0,0.0,0.0,0.0,0.0
11162817.0,16225734.0,14212767.0,63682956.0,0.0,11085225.0,16112950.0,14113975.0,63240300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137464296.45,3281776699.5,42030750.96,0.0,0.0,351210648354.0,169681528.29000002,77592.0,112784.0,98792.0,442656.0,0.0,0.0,0.0,0.0
11085225.0,16112950.0,14113975.0,63240300.0,0.0,11085225.0,16112950.0,14113975.0,63240300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136508791.25,3258965287.5,41738598.0,0.0,0.0,348769406450.0,168502083.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11085225.0,16112950.0,14113975.0,63240300.0,0.0,11085225.0,16112950.0,14113975.0,63240300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136508791.25,3258965287.5,41738598.0,0.0,0.0,348769406450.0,168502083.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11159889.0,16221478.0,14209039.0,63666252.0,0.0,11122557.0,16167214.0,14161507.0,63453276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137428239.65,3280915891.5,42019726.32,0.0,0.0,351118526018.0,169637020.92999998,37332.0,54264.0,47532.0,212976.0,0.0,0.0,0.0,0.0
