tick_pop_consumption,tick_production,tick_emissions,tick_land_used,tick_water_used,tick_penurie
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
777365898.3301582,1966910945.9683638,23701276898.918785,39334714.455506,4523895175.727237,0.0
793035402.7556685,2002950806.1470375,24035409673.76445,41495577.44919035,4156122922.755103,0.0
812936994.8194518,2048724467.8937392,24388769636.92595,45341560.88605492,3369445370.7843513,0.0
787087996.4063838,1989271771.543683,23391840253.619175,47973013.38096909,1970344403.8805494,0.0
793084722.2195017,2003064240.9138544,23344646875.636856,51105499.539351165,1041800230.9139528,0.0
782153644.3049963,1977858782.380492,23042054814.732735,50370694.693241775,988929391.1902466,0.0
765546882.7145498,1939663230.7224648,22597076637.916718,49301219.24681701,969831615.361233,0.0
739758437.1373082,1880253836.8998096,21904957199.882786,47640443.35164267,940126918.4499054,0.0
809524878.3787353,2040716651.755092,23774348992.946823,52133402.167590566,1020358325.8775465,0.0
780998401.695052,1974990592.5886202,23008640403.65743,50296297.069161355,987495296.2943108,0.0
795648614.5051264,2008686082.0517912,23401192855.90337,51239770.77413014,1004343041.0258963,0.0
802148411.4077708,2023635614.9278731,23575354913.90972,51658357.69466044,1011817807.4639373,0.0
774659653.7250886,1960411472.2577043,22838793651.802258,49888081.69989571,980205736.1288527,0.0
748407471.2617042,1900031452.5919204,22135366422.695873,48197441.149253756,950015726.2959607,0.0
787339755.2112409,1989575705.6758544,23178556971.123707,50704680.23560391,994787852.8379279,0.0
