tick_pop_consumption,tick_production,tick_emissions,tick_land_used,tick_water_used,tick_penurie
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
972775648.3557268,2456039749.4261713,29595278980.58537,49222447.80679978,5648891423.680195,0.0
969067858.8019722,2447511833.4525356,29370142001.430428,50706475.71181319,5078587054.414012,0.0
980149122.527691,2472998740.0216894,29439617794.168503,54667817.30898197,4067820498.1320457,0.0
1005540932.4491085,2531399902.84095,29765814434.20196,61287719.832773164,2503224998.892503,0.0
966159649.4351914,2440822951.908941,28446520177.649563,62258364.36823433,1269609021.5512712,0.0
1013997509.5495952,2550850030.17207,29717402851.504616,65301439.614993945,1275425015.0860357,0.0
978877190.9026856,2470073297.284178,28776353913.360676,63039691.09413297,1235036648.6420896,0.0
984182662.8438696,2482275882.748901,28918514034.024696,63381363.487145215,1241137941.3744514,0.0
981219037.7035972,2475996971.298274,28845364715.624893,63190506.02811167,1237998485.6491377,0.0
993832979.0103866,2504913067.30889,29182237234.148567,64002843.848268904,1252456533.6544456,0.0
1015508380.1490885,2554766489.9279037,29763029607.660084,65398739.6816013,1277383244.9639528,0.0
1009838934.7007873,2541694775.7318115,29610744137.275604,65033627.39473071,1270847387.8659067,0.0
984286237.4718196,2482923572.105186,28926059615.025417,63388033.693185195,1241461786.0525937,0.0
994830093.2195525,2507391970.046972,29211116451.04722,64067058.003339194,1253695985.0234866,0.0
992055611.035909,2500991467.2255917,29136550593.178143,63888381.35071255,1250495733.6127968,0.0
