tick_pop_consumption,tick_production,tick_emissions,tick_land_used,tick_water_used,tick_penurie
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
1756282212.8430517,4430196449.581018,53181894762.974335,91897466.78701267,9280575788.890064,0.0
1808502228.556283,4551402930.197451,54408857406.085434,97749545.45346709,8508261176.881835,0.0
1788674780.2688613,4506452388.302381,53421085821.06742,102848799.86545953,6397345932.202235,0.0
1779885055.6806183,4485634616.047423,52501519957.153946,111554295.86478277,3340262368.930333,0.0
1776732161.3698146,4478382959.132575,52173161473.8945,114421551.19221607,2239191479.566289,0.0
1772080636.4123821,4470678684.37448,52083406672.9627,114121992.98495741,2235339342.1872416,0.0
1728498784.677019,4369263205.711144,50901916346.534836,111315321.73320003,2184631602.8555737,0.0
1787603030.384207,4505043022.512677,52483751212.27269,115121635.15674295,2252521511.25634,0.0
1784090977.989959,4496965302.005907,52389645768.36881,114895458.98255336,2248482651.0029545,0.0
1831938988.597903,4611315137.3801775,53721821350.47907,117976870.86570495,2305657568.69009,0.0
1736044007.3049667,4388606974.918425,51127271257.79966,111801234.07043988,2194303487.4592137,0.0
1749482579.9211612,4419515691.935672,51487357811.05058,112666678.1469228,2209757845.9678373,0.0
1788067445.6290047,4509374123.405712,52534208537.67655,115151543.49850792,2254687061.7028575,0.0
1805769051.6828582,4549531197.158575,53002038446.8974,116291526.92837608,2274765598.579289,0.0
1773168485.1067696,4475599155.045571,52140730156.2809,114192050.44087598,2237799577.522787,0.0
