tick_pop_consumption,tick_production,tick_emissions,tick_land_used,tick_water_used,tick_penurie
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
1049166512.3384451,2662295264.5944233,31960003789.44388,54897637.75810914,5580335438.432029,0.0
1092026468.0867622,2762114361.817553,33019789297.98066,59024030.60008949,5166263603.536524,0.0
1060985156.849256,2689836431.2172894,31887040238.448082,61006646.51883223,3821924382.058605,0.0
1089989972.4594202,2756547507.120667,32264084361.835007,68315121.52389416,2054650321.0168843,0.0
1076643191.9483404,2725849911.9451838,31756151474.161385,69335821.56147313,1362924955.9725926,0.0
1115090856.9762344,2817747221.19534,32826755126.925713,71811851.18926951,1408873610.597671,0.0
1147297119.6038613,2890087785.3958826,33669522699.86203,73885934.50248869,1445043892.697942,0.0
1058848107.7005045,2686655058.0181613,31299531425.911583,68189818.13591251,1343327529.0090816,0.0
1094823485.1704237,2769398426.1989756,32263491665.218063,70506632.4449753,1384699213.0994887,0.0
1086695737.4499586,2750704606.441906,32045708665.048206,69983205.49177735,1375352303.220954,0.0
1060065333.7302064,2689512259.2834754,31332817820.65249,68268207.49222529,1344756129.6417387,0.0
1067955492.5024846,2707659624.459715,31544234624.95568,68776333.71716002,1353829812.2298584,0.0
1080850370.5937428,2737317844.0696096,31889752883.41095,69606763.86623704,1368658922.0348055,0.0
1106746917.8887463,2798325835.706117,32600495985.97627,71274501.51203527,1399162917.8530595,0.0
1102497965.231267,2789442557.2809143,32497005792.32266,71000868.9608936,1394721278.640458,0.0
