tick_pop_consumption,tick_production,tick_emissions,tick_land_used,tick_water_used,tick_penurie
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
1501212680.520858,3783863004.1489735,45422909741.73523,78550953.50825389,7926007347.373096,0.0
1504891945.5197868,3791544765.82051,45325474616.11134,81339409.65534447,7088673807.271069,0.0
1493873311.6605875,3766201907.944351,44646007273.696815,85897715.42048378,5346998661.625218,0.0
1510557246.8275397,3804574958.8283424,44530041682.847855,94674175.44491607,2832632835.653674,0.0
1498012267.231025,3780391996.8463583,44041566763.26007,96471990.00967802,1890195998.4231803,0.0
1541405062.1015306,3877860179.5035214,45177071091.21602,99266485.99933857,1938930089.751762,0.0
1532046676.4775505,3856335892.568367,44926313148.42148,98663805.96515426,1928167946.2841847,0.0
1494231187.963114,3769360268.9851637,43913047133.677155,96228488.50482456,1884680134.492583,0.0
1490166058.6377306,3760010471.5367813,43804121993.403496,95966694.17626986,1880005235.7683918,0.0
1572811833.0332553,3953345902.6104884,46056479765.41219,101289082.04734166,1976672951.3052454,0.0
1546089907.2203743,3890260398.258862,45321533639.71575,99568190.02499214,1945130199.1294322,0.0
1477697139.622051,3735183513.466718,43514887931.88727,95163695.7916601,1867591756.7333603,0.0
1549281097.595493,3898713376.4636354,45420010835.80135,99773702.68514976,1949356688.231819,0.0
1512701286.973482,3816153703.5510097,44458190646.36926,97417962.88109225,1908076851.775506,0.0
1466065846.0427816,3708105243.651399,43199426088.5388,94414640.48515515,1854052621.8257008,0.0
