tick_pop_consumption,tick_production,tick_emissions,tick_land_used,tick_water_used,tick_penurie
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
3480887357.5010705,8797446040.553461,119219192310.38577,238179717.43701077,18352706276.543636,0.0
3505785262.8934255,8855152680.332878,119566287236.67511,245930836.19197378,16479564877.096827,0.0
3509885195.1104274,8864121873.255983,118803064607.19028,258327550.36012745,12507105096.08379,0.0
3455712613.2639737,8741444314.909142,116039331491.88719,272223761.10986954,6435306893.904108,0.0
3479002891.995369,8793937103.24735,117726797685.39932,280059732.8056272,4307101313.785045,0.0
3419490989.074953,8664302186.686394,115999167678.46097,275269024.6205337,4243562580.381056,0.0
3474585719.552758,8787398836.707346,117641009891.66548,279704150.42399704,4303888751.035882,0.0
3477390543.976038,8795417426.465889,117748706520.45602,279929938.7900711,4307814045.573368,0.0
3501092709.658832,8849177451.442316,118466090536.54172,281837963.127536,4334158294.972697,0.0
3537203034.839755,8934585638.702438,119607263843.11395,284744844.30460036,4376002577.279278,0.0
3476199723.7759976,8793100803.583797,117717954290.95529,279834077.7639679,4306677872.796583,0.0
3501833315.875854,8852294788.934467,118508291925.4031,281897581.9280063,4335682349.559491,0.0
3449640299.4536395,8732186871.833374,116904824764.53152,277696044.106018,4276829625.871556,0.0
3525728114.6811934,8907854231.888746,119250259284.01958,283821113.2318361,4362905013.106049,0.0
3487886690.026937,8821062076.637959,118091684588.19513,280774878.5471685,4320376265.405082,0.0
