tick_production_E'hydro_energy',tick_production_E'nuclear_energy',tick_production_E'solar_energy',tick_production_E'wind_energy',tick_total_consumption_E'any_energy',tick_total_consumption_E'hydro_energy',tick_total_consumption_E'nuclear_energy',tick_total_consumption_E'solar_energy',tick_total_consumption_E'wind_energy',tick_pop_consumption_E'any_energy',tick_resources_used_E'L water',tick_resources_used_E'm² land',tick_emissions_E'hydro_energy',tick_emissions_E'nuclear_energy',tick_emissions_E'solar_energy',tick_emissions_E'wind_energy',tick_penurie_E'hydro_energy',tick_penurie_E'nuclear_energy',tick_penurie_E'solar_energy',tick_penurie_E'wind_energy'
nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil
nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil
8138947.08637046,21703858.89698789,13564911.810617434,10851929.448493944,45291352.97498684,0.0,0.0,0.0,0.0,1872834.965386841,122084206.29555692,3007069650.1776724,1139452592.0918643,1193712239.3343341,27129823.621234868,151927012.27891523,0.0,0.0,0.0,0.0
8113857.476844646,21636953.27158572,13523095.794741077,10818476.63579286,68809780.44410175,0.0,0.0,0.0,0.0,1817185.9523149177,121707862.15266971,2997799875.7782016,1135940046.7582505,1190032429.9372149,27046191.589482155,151458672.90110007,0.0,0.0,0.0,0.0
8142505.972292735,21713349.25944729,13570843.287154557,10856674.629723646,92411247.0304575,0.0,0.0,0.0,0.0,1869908.0647557548,122137589.58439104,3008384539.8964224,1139950836.120983,1194234209.269601,27141686.574309114,151993444.81613106,0.0,0.0,0.0,0.0
8147924.18451753,21727797.82538008,13579873.640862549,10863898.91269004,116028418.57978366,0.0,0.0,0.0,0.0,1914779.1389261764,122218862.76776297,3010386388.70641,1140709385.8324544,1195028880.3959045,27159747.281725097,152094584.77766055,0.0,0.0,0.0,0.0
8107879.858828197,21621012.95687519,13513133.098046994,10810506.478437595,139529519.6198654,0.0,0.0,0.0,0.0,1758146.6008817328,121618197.88242297,2995591345.175058,1135103180.2359478,1189155712.6281357,27026266.196093988,151347090.69812635,0.0,0.0,0.0,0.0
8115240.61484545,21640641.639587864,13525401.024742415,10820320.819793932,163051956.1846348,0.0,0.0,0.0,0.0,1818150.7487694216,121728609.22268178,2998310899.164899,1136133686.0783632,1190235290.1773326,27050802.04948483,151484491.47711506,0.0,0.0,0.0,0.0
8137330.183053592,21699547.15480958,13562216.971755987,10849773.57740479,186638420.48334086,0.0,0.0,0.0,0.0,1842117.649506066,122059952.74580391,3006472258.2988667,1139226225.627503,1193475093.5145268,27124433.943511974,151896830.08366704,0.0,0.0,0.0,0.0
8161735.194213222,21764627.18456859,13602891.99035537,10882313.592284296,210295623.94482848,0.0,0.0,0.0,0.0,1920540.1698876019,122426027.91319837,3015489096.4219785,1142642927.1898513,1197054495.1512725,27205783.98071074,152352390.29198015,0.0,0.0,0.0,0.0
8094727.187729471,21585939.167278588,13491211.97954912,10792969.583639294,233758601.30056608,0.0,0.0,0.0,0.0,1725070.3565375984,121420907.8159421,2990731871.626448,1133261806.282126,1187226654.2003224,26982423.95909824,151101574.1709501,0.0,0.0,0.0,0.0
8126833.394065074,21671555.717506863,13544722.32344179,10835777.858753432,257314640.12394312,0.0,0.0,0.0,0.0,1829276.739777028,121902500.91097613,3002594044.660576,1137756675.1691105,1191935564.4628775,27089444.64688358,151700890.02254805,0.0,0.0,0.0,0.0
8218391.565630991,21915710.84168264,13697319.276051654,10957855.42084132,281136064.951859,0.0,0.0,0.0,0.0,2080622.031915917,123275873.48446487,3036421737.11513,1150574819.1883388,1205364096.2925453,27394638.552103307,153409975.8917785,0.0,0.0,0.0,0.0
8191056.046800022,21842816.124800056,13651760.078000037,10921408.062400028,304878256.39185905,0.0,0.0,0.0,0.0,2000479.0668000637,122865840.70200033,3026322174.091048,1146747846.5520031,1201354886.8640032,27303520.156000074,152899712.8736004,0.0,0.0,0.0,0.0
