global_tick_resources_usage'any_energy',global_tick_production'wood building',global_tick_production'modular house',global_tick_emissions'gCO2e emissions',total_houses'wood building',total_houses'modular house',total_houses_used'wood building',total_houses_used'modular house',total_houses_used'camp'
0.0,0,0,0.0,134,332,0,0,0
10080.0,0,3,30240.0,134,335,134,332,2
19220.0,1,2,56160.0,135,337,134,335,2
15860.0,1,1,46080.0,136,338,135,337,1
6720.0,0,2,20160.0,136,340,136,338,1
19220.0,1,2,56160.0,137,342,136,340,2
19220.0,1,2,56160.0,138,344,137,342,2
0.0,0,0,0.0,138,344,138,343,0
22580.0,1,3,66240.0,139,347,138,344,3
19220.0,1,2,56160.0,140,349,139,347,2
22580.0,1,3,66240.0,141,352,140,349,2
15860.0,1,1,46080.0,142,353,141,352,1
6720.0,0,2,20160.0,142,355,142,353,1
19220.0,1,2,56160.0,143,357,142,355,2
15860.0,1,1,46080.0,144,358,143,357,1
22580.0,1,3,66240.0,145,361,144,358,2
6720.0,0,2,20160.0,145,363,145,361,1
19220.0,1,2,56160.0,146,365,145,363,2
19220.0,1,2,56160.0,147,367,146,365,3
19220.0,1,2,56160.0,148,369,147,367,2
22580.0,1,3,66240.0,149,372,148,369,2
15860.0,1,1,46080.0,150,373,149,372,1
6720.0,0,2,20160.0,150,375,150,373,1
19220.0,1,2,56160.0,151,377,150,375,3
22580.0,1,3,66240.0,152,380,151,377,3
19220.0,1,2,56160.0,153,382,152,380,2
19220.0,1,2,56160.0,154,384,153,382,2
22580.0,1,3,66240.0,155,387,154,384,3
19220.0,1,2,56160.0,156,389,155,387,2
22580.0,1,3,66240.0,157,392,156,389,3
19220.0,1,2,56160.0,158,394,157,392,3
19220.0,1,2,56160.0,159,396,158,394,2
22580.0,1,3,66240.0,160,399,159,396,3
22580.0,1,3,66240.0,161,402,160,399,2
22580.0,1,3,66240.0,162,405,161,402,3
19220.0,1,2,56160.0,163,407,162,405,2
15860.0,1,1,46080.0,164,408,163,407,1
22580.0,1,3,66240.0,165,411,164,408,2
22580.0,1,3,66240.0,166,414,165,411,2
19220.0,1,2,56160.0,167,416,166,414,2
22580.0,1,3,66240.0,168,419,167,416,2
19220.0,1,2,56160.0,169,421,168,419,1
22580.0,1,3,66240.0,170,424,169,421,2
19220.0,1,2,56160.0,171,426,170,424,2
19220.0,1,2,56160.0,172,428,171,426,2
6720.0,0,2,20160.0,172,430,172,428,1
22580.0,1,3,66240.0,173,433,172,430,3
19220.0,1,2,56160.0,174,435,173,433,3
19220.0,1,2,56160.0,175,437,174,435,3
22580.0,1,3,66240.0,176,440,175,437,3
35080.0,2,3,102240.0,178,443,176,440,4
22580.0,1,3,66240.0,179,446,178,443,2
19220.0,1,2,56160.0,180,448,179,446,2
22580.0,1,3,66240.0,181,451,180,448,2
22580.0,1,3,66240.0,182,454,181,451,2
22580.0,1,3,66240.0,183,457,182,454,2
22580.0,1,3,66240.0,184,460,183,457,3
19220.0,1,2,56160.0,185,462,184,460,2
22580.0,1,3,66240.0,186,465,185,462,3
22580.0,1,3,66240.0,187,468,186,465,3
35080.0,2,3,102240.0,189,471,187,468,4
19220.0,1,2,56160.0,190,473,189,471,1
22580.0,1,3,66240.0,191,476,190,473,2
6720.0,0,2,20160.0,191,478,191,476,1
35080.0,2,3,102240.0,193,481,191,478,4
22580.0,1,3,66240.0,194,484,193,481,2
22580.0,1,3,66240.0,195,487,194,484,2
19220.0,1,2,56160.0,196,489,195,487,2
19220.0,1,2,56160.0,197,491,196,489,2
22580.0,1,3,66240.0,198,494,197,491,2
22580.0,1,3,66240.0,199,497,198,494,2
22580.0,1,3,66240.0,200,500,199,497,3
22580.0,1,3,66240.0,201,503,200,500,3
19220.0,1,2,56160.0,202,505,201,503,3
22580.0,1,3,66240.0,203,508,202,505,3
35080.0,2,3,102240.0,205,511,203,508,4
19220.0,1,2,56160.0,206,513,205,511,2
22580.0,1,3,66240.0,207,516,206,513,3
22580.0,1,3,66240.0,208,519,207,516,3
22580.0,1,3,66240.0,209,522,208,519,2
22580.0,1,3,66240.0,210,525,209,522,3
19220.0,1,2,56160.0,211,527,210,525,2
22580.0,1,3,66240.0,212,530,211,527,4
35080.0,2,3,102240.0,214,533,212,530,4
22580.0,1,3,66240.0,215,536,214,533,2
22580.0,1,3,66240.0,216,539,215,536,2
19220.0,1,2,56160.0,217,541,216,539,2
22580.0,1,3,66240.0,218,544,217,541,2
19220.0,1,2,56160.0,219,546,218,544,2
22580.0,1,3,66240.0,220,549,219,546,3
22580.0,1,3,66240.0,221,552,220,549,3
22580.0,1,3,66240.0,222,555,221,552,3
19220.0,1,2,56160.0,223,557,222,555,2
19220.0,1,2,56160.0,224,559,223,557,2
22580.0,1,3,66240.0,225,562,224,559,3
22580.0,1,3,66240.0,226,565,225,562,3
35080.0,2,3,102240.0,228,568,226,565,4
22580.0,1,3,66240.0,229,571,228,568,2
22580.0,1,3,66240.0,230,574,229,571,2
