tick_production_bovine,tick_production_porc,tick_production_poulet,tick_production_legumes,tick_production_coton,tick_consommation_bovine,tick_consommation_porc,tick_consommation_poulet,tick_consommation_legumes,tick_distribution_bovine,tick_distribution_porc,tick_distribution_poulet,tick_distribution_legumes,tick_reception_bovine,tick_reception_porc,tick_reception_poulet,tick_reception_legumes,tick_emission_total,tick_surface_used_viandes,tick_surface_used_legumes,tick_surface_manque_viandes,tick_surface_manque_legumes,tick_water_used_agricole,tick_energy_used_agricole,tick_penurie_bovine,tick_penurie_porc,tick_penurie_poulet,tick_penurie_legumes,tick_stock_bovine,tick_stock_porc,tick_stock_poulet,tick_stock_legumes
14925846.0,21695492.0,19003946.0,85150728.0,0.0,14925846.0,21695492.0,19003946.0,85150728.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183804045.1,4388076381.0,56199480.480000004,0.0,0.0,469605123052.0,226881831.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14925846.0,21695492.0,19003946.0,85150728.0,0.0,14925846.0,21695492.0,19003946.0,85150728.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183804045.1,4388076381.0,56199480.480000004,0.0,0.0,469605123052.0,226881831.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14925846.0,21695492.0,19003946.0,85150728.0,0.0,14925846.0,21695492.0,19003946.0,85150728.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183804045.1,4388076381.0,56199480.480000004,0.0,0.0,469605123052.0,226881831.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14925846.0,21695492.0,19003946.0,85150728.0,0.0,14925846.0,21695492.0,19003946.0,85150728.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183804045.1,4388076381.0,56199480.480000004,0.0,0.0,469605123052.0,226881831.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14925846.0,21695492.0,19003946.0,85150728.0,0.0,14925846.0,21695492.0,19003946.0,85150728.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183804045.1,4388076381.0,56199480.480000004,0.0,0.0,469605123052.0,226881831.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14922186.0,21690172.0,18999286.0,85129848.0,0.0,14922186.0,21690172.0,18999286.0,85129848.0,0.0,0.0,0.0,0.0,3660.0,5320.0,4660.0,20880.0,183758974.1,4387000371.0,56185699.68,0.0,0.0,469489970132.0,226826196.82000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14920356.0,21687512.0,18996956.0,85119408.0,0.0,14920356.0,21687512.0,18996956.0,85119408.0,0.0,0.0,0.0,0.0,5490.0,7980.0,6990.0,31320.0,183736438.6,4386462366.0,56178809.28,0.0,0.0,469432393672.0,226798379.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14932800.0,21705600.0,19012800.0,85190400.0,0.0,14926578.0,21696556.0,19004878.0,85154904.0,0.0,0.0,0.0,0.0,5490.0,7980.0,6990.0,31320.0,183889680.0,4390120800.0,56225664.0,0.0,0.0,469823913600.0,226987536.0,6222.0,9044.0,7922.0,35496.0,0.0,0.0,0.0,0.0
14926212.0,21696024.0,19004412.0,85152816.0,0.0,14926212.0,21696024.0,19004412.0,85152816.0,0.0,0.0,0.0,0.0,5856.0,8512.0,7456.0,33408.0,183808552.2,4388183982.0,56200858.56,0.0,0.0,469616638344.0,226887394.44000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14922369.0,21690438.0,18999519.0,85130892.0,0.0,14922369.0,21690438.0,18999519.0,85130892.0,0.0,0.0,0.0,0.0,9699.0,14098.0,12349.0,55332.0,183761227.64999998,4387054171.5,56186388.720000006,0.0,0.0,469495727778.0,226828978.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14922369.0,21690438.0,18999519.0,85130892.0,0.0,14922369.0,21690438.0,18999519.0,85130892.0,0.0,0.0,0.0,0.0,9699.0,14098.0,12349.0,55332.0,183761227.64999998,4387054171.5,56186388.720000006,0.0,0.0,469495727778.0,226828978.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14922369.0,21690438.0,18999519.0,85130892.0,0.0,14922369.0,21690438.0,18999519.0,85130892.0,0.0,0.0,0.0,0.0,9699.0,14098.0,12349.0,55332.0,183761227.64999998,4387054171.5,56186388.720000006,0.0,0.0,469495727778.0,226828978.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
