tick_production_bovine,tick_production_porc,tick_production_poulet,tick_production_legumes,tick_production_coton,tick_consommation_bovine,tick_consommation_porc,tick_consommation_poulet,tick_consommation_legumes,tick_distribution_bovine,tick_distribution_porc,tick_distribution_poulet,tick_distribution_legumes,tick_reception_bovine,tick_reception_porc,tick_reception_poulet,tick_reception_legumes,tick_emission_total,tick_surface_used_viandes,tick_surface_used_legumes,tick_surface_manque_viandes,tick_surface_manque_legumes,tick_water_used_agricole,tick_energy_used_agricole,tick_penurie_bovine,tick_penurie_porc,tick_penurie_poulet,tick_penurie_legumes,tick_stock_bovine,tick_stock_porc,tick_stock_poulet,tick_stock_legumes
22608186.0,32862172.0,28785286.0,128977848.0,0.0,22608186.0,32862172.0,28785286.0,128977848.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278408074.09999996,187104359.0,85125379.68,6459517012.0,0.0,711311102132.0,343658016.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22608186.0,32862172.0,28785286.0,128977848.0,0.0,22608186.0,32862172.0,28785286.0,128977848.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278408074.09999996,187104359.0,85125379.68,6459517012.0,0.0,711311102132.0,343658016.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22617702.0,32876004.0,28797402.0,129032136.0,0.0,22614042.0,32870684.0,28792742.0,129011256.0,2196.0,3192.0,2796.0,12528.0,0.0,0.0,0.0,0.0,278525258.7,187183113.0,85161209.76,6462235884.0,0.0,711610499724.0,343802665.74,3660.0,5320.0,4660.0,20880.0,0.0,0.0,0.0,0.0
22643322.0,32913244.0,28830022.0,129178296.0,0.0,22628682.0,32891964.0,28811382.0,129094776.0,2196.0,3192.0,2796.0,12528.0,0.0,0.0,0.0,0.0,278840755.7,187395143.0,85257675.36,6469555924.0,0.0,712416570164.0,344192105.14000005,14640.0,21280.0,18640.0,83520.0,0.0,0.0,0.0,0.0
22706640.0,33005280.0,28910640.0,129539520.0,0.0,22667661.0,32948622.0,28861011.0,129317148.0,2196.0,3192.0,2796.0,12528.0,0.0,0.0,0.0,0.0,279620484.0,187919160.0,85496083.2,6487646880.0,0.0,714408715680.0,345154576.8,38979.0,56658.0,49629.0,222372.0,0.0,0.0,0.0,0.0
22701699.0,32998098.0,28904349.0,129511332.0,0.0,22684680.0,32973360.0,28882680.0,129414240.0,2196.0,3192.0,2796.0,12528.0,0.0,0.0,0.0,0.0,279559638.15,187878268.5,85477479.12,6486235158.0,0.0,714253259238.0,345079470.63000005,17019.0,24738.0,21669.0,97092.0,0.0,0.0,0.0,0.0
22869144.0,33241488.000000004,29117544.0,130466592.0,0.0,22778376.0,33109552.0,29001976.0,129948768.0,5124.0,7447.999999997206,6524.0,29232.0,0.0,0.0,0.0,0.0,281621636.40000004,189264036.0,86107950.72,6534076848.0,0.0,719521505328.0,347624735.28000003,90768.0,131936.0000000028,115568.0,517824.0,0.0,0.0,0.0,0.0
22831080.0,33186160.0,29069080.0,130249440.0,0.0,22804728.0,33147856.0,29035528.0,130099104.0,5124.0,7447.999999997206,6524.0,29232.0,0.0,0.0,0.0,0.0,281152898.0,188949020.0,85964630.4,6523201360.0,0.0,718323914960.0,347046139.6,26352.0,38304.0,33552.0,150336.0,0.0,0.0,0.0,0.0
22804728.0,33147856.0,29035528.0,130099104.0,0.0,22804728.0,33147856.0,29035528.0,130099104.0,5124.0,7447.999999997206,6524.0,29232.0,0.0,0.0,0.0,0.0,280828386.8,188730932.0,85865408.64,6515672176.0,0.0,717494813936.0,346645573.35999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22839864.0,33198928.0,29080264.0,130299552.0,0.0,22822296.0,33173392.0,29057896.0,130199328.0,5124.0,7447.999999997206,6524.0,29232.0,0.0,0.0,0.0,0.0,281261068.4,189021716.0,85997704.32000001,6525711088.0,0.0,718600281968.0,347179661.68,17568.0,25536.0,22368.0,100224.0,0.0,0.0,0.0,0.0
