nb_pop,nb_men,nb_woman
81562,39472,42090
81562,39472,42090
81562,39472,42090
81562,39472,42090
81562,39472,42090
81542,39469,42073
81532,39461,42071
81566,39483,42083
81564,39480,42084
81543,39472,42071
81543,39472,42071
81543,39472,42071
81543,39472,42071
81558,39476,42082
81558,39476,42082
81558,39476,42082
81558,39476,42082
81558,39476,42082
81543,39464,42079
81535,39458,42077
81555,39470,42085
81548,39471,42077
81513,39453,42060
81513,39453,42060
81513,39453,42060
81513,39453,42060
81499,39441,42058
81499,39441,42058
81499,39441,42058
81499,39441,42058
81499,39441,42058
81476,39429,42047
81471,39430,42041
81466,39433,42033
81445,39417,42028
81425,39405,42020
81425,39405,42020
81425,39405,42020
81425,39405,42020
81402,39387,42015
81402,39387,42015
81402,39387,42015
81402,39387,42015
81402,39387,42015
81380,39366,42014
81375,39364,42011
81365,39358,42007
81361,39365,41996
81338,39359,41979
81338,39359,41979
81338,39359,41979
81338,39359,41979
81318,39350,41968
81318,39350,41968
81318,39350,41968
81318,39350,41968
81318,39350,41968
81299,39335,41964
81292,39329,41963
81271,39310,41961
81262,39304,41958
81230,39284,41946
81230,39284,41946
81230,39284,41946
81230,39284,41946
81229,39265,41964
81229,39265,41964
81229,39265,41964
81229,39265,41964
81229,39265,41964
81202,39250,41952
81203,39250,41953
81185,39248,41937
81171,39247,41924
81137,39230,41907
81137,39230,41907
81137,39230,41907
81137,39230,41907
81116,39217,41899
81116,39217,41899
81116,39217,41899
81116,39217,41899
81116,39217,41899
81080,39196,41884
81076,39195,41881
81039,39185,41854
81034,39181,41853
80992,39160,41832
80992,39160,41832
80992,39160,41832
80992,39160,41832
80951,39132,41819
80951,39132,41819
80951,39132,41819
80951,39132,41819
80951,39132,41819
80906,39099,41807
80899,39097,41802
80871,39080,41791
80837,39075,41762
80792,39061,41731
80792,39061,41731
80792,39061,41731
80792,39061,41731
80770,39051,41719
80770,39051,41719
80770,39051,41719
