nb_pop,nb_men,nb_woman
27973,13530,14443
27973,13530,14443
27973,13530,14443
27973,13530,14443
27973,13530,14443
27987,13529,14458
27987,13529,14458
27987,13529,14458
28035,13551,14484
28035,13551,14484
28016,13539,14477
28016,13539,14477
28016,13539,14477
28016,13539,14477
28016,13539,14477
28016,13539,14477
28016,13539,14477
28016,13539,14477
28042,13546,14496
28042,13546,14496
28042,13546,14496
28082,13576,14506
28082,13576,14506
28073,13570,14503
28073,13570,14503
28073,13570,14503
28073,13570,14503
28073,13570,14503
28073,13570,14503
28073,13570,14503
28073,13570,14503
28094,13573,14521
28094,13573,14521
28094,13573,14521
28149,13594,14555
28149,13594,14555
28148,13593,14555
28148,13593,14555
28148,13593,14555
28148,13593,14555
28148,13593,14555
28148,13593,14555
28148,13593,14555
28148,13593,14555
28164,13603,14561
28164,13603,14561
28164,13603,14561
28212,13633,14579
28212,13633,14579
28205,13634,14571
28205,13634,14571
28205,13634,14571
28205,13634,14571
28205,13634,14571
28205,13634,14571
28205,13634,14571
28205,13634,14571
28223,13641,14582
28223,13641,14582
28223,13641,14582
28254,13662,14592
28254,13662,14592
28236,13648,14588
28236,13648,14588
28236,13648,14588
28236,13648,14588
28236,13648,14588
28236,13648,14588
28236,13648,14588
28236,13648,14588
28258,13657,14601
28258,13657,14601
28258,13657,14601
28316,13677,14639
28316,13677,14639
28290,13663,14627
28290,13663,14627
28290,13663,14627
28290,13663,14627
28290,13663,14627
28290,13663,14627
28290,13663,14627
28290,13663,14627
28291,13660,14631
28291,13660,14631
28291,13660,14631
28340,13688,14652
28340,13688,14652
28314,13683,14631
28314,13683,14631
28314,13683,14631
28314,13683,14631
28314,13683,14631
28314,13683,14631
28314,13683,14631
28314,13683,14631
28306,13679,14627
28306,13679,14627
28306,13679,14627
28343,13701,14642
28343,13701,14642
28306,13679,14627
28306,13679,14627
28306,13679,14627
28306,13679,14627
28306,13679,14627
28306,13679,14627
