nb_pop,nb_men,nb_woman
59907,29015,30892
59907,29015,30892
59907,29015,30892
59907,29015,30892
59978,29056,30922
59978,29056,30922
60010,29074,30936
60107,29117,30990
60107,29117,30990
60107,29117,30990
60107,29117,30990
60107,29117,30990
60125,29118,31007
60125,29118,31007
60125,29118,31007
60125,29118,31007
60125,29118,31007
60201,29159,31042
60201,29159,31042
60213,29162,31051
60291,29202,31089
60291,29202,31089
60291,29202,31089
60291,29202,31089
60291,29202,31089
60328,29224,31104
60328,29224,31104
60328,29224,31104
60328,29224,31104
60328,29224,31104
60422,29279,31143
60422,29279,31143
60448,29295,31153
60522,29340,31182
60522,29340,31182
60522,29340,31182
60522,29340,31182
60522,29340,31182
60515,29337,31178
60515,29337,31178
60515,29337,31178
60515,29337,31178
60515,29337,31178
60604,29391,31213
60604,29391,31213
60619,29394,31225
60693,29450,31243
60693,29450,31243
60693,29450,31243
60693,29450,31243
60693,29450,31243
60699,29450,31249
60699,29450,31249
60699,29450,31249
60699,29450,31249
60699,29450,31249
60775,29486,31289
60775,29486,31289
60776,29486,31290
60865,29544,31321
60865,29544,31321
60865,29544,31321
60865,29544,31321
60865,29544,31321
60845,29539,31306
60845,29539,31306
60845,29539,31306
60845,29539,31306
60845,29539,31306
60905,29550,31355
60905,29550,31355
60933,29562,31371
61010,29596,31414
61010,29596,31414
61010,29596,31414
61010,29596,31414
61010,29596,31414
60987,29591,31396
60987,29591,31396
60987,29591,31396
60987,29591,31396
60987,29591,31396
61043,29633,31410
61043,29633,31410
61058,29643,31415
61136,29670,31466
61136,29670,31466
61136,29670,31466
61136,29670,31466
61136,29670,31466
61123,29663,31460
61123,29663,31460
61123,29663,31460
61123,29663,31460
61123,29663,31460
61192,29702,31490
61192,29702,31490
61212,29711,31501
61269,29742,31527
61269,29742,31527
61269,29742,31527
61269,29742,31527
61269,29742,31527
61259,29742,31517
61259,29742,31517
61259,29742,31517
61259,29742,31517
